Club|Last Name|First Name|Pos|Base Salary|Compensation
NYCFC|Wingert|Chris|D|215000|215000
ORL|Winter|Adrian|M|180000|198333.33
LA|Wolverton|Andrew|GK|50000.04|50000.04
SJ|Wondolowski|Chris|M|625000|675000
NE|Woodberry|London|D|60000|60000
DC|Worra|Travis|GK|50000|50000
NY|Wright-Phillips|Bradley|F|600000|660000
NY|Wright-Phillips|Shaun|M|116004|145704
SJ|Wynne|Marvell|D|190000|200625
LA|Zardes|Gyasi|F|150000|223000
TOR|Zavaleta|Eriq|F|85000|115600
POR|Zemanski|Ben|M|81033|83533
DAL|Zendejas|Alejandro|F|60000|76666.67
DAL|Zimmerman|Walker|D|100000|180100
NY|Zizzo|Sal|F|80850|94895.71
NY|Zubar|Ronald|D|240000|320000
KC|Zusi|Graham|F-M|650000|682102.27
